GCM,var,from_year,to_year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,tas,1920,1939,-10.61768879,-8.407692545,-4.116470908,2.330464732,8.79204721,14.26015573,17.92173231,17.58278399,13.33264472,6.479564486,-1.224032243,-7.690621583
cccma_cgcm3_1,tas,1920,1939,-7.637799536,-7.092528003,-2.944350169,3.280084929,9.396691149,14.40580571,17.40768326,17.18583843,12.63803991,6.334863753,-0.079385201,-5.376437446
cnrm_cm3,tas,1920,1939,-6.415732633,-5.443294459,-1.887436065,3.565436803,9.30053163,14.48591382,17.46303378,17.28528441,13.60676959,7.067572311,0.152393826,-4.394156744
csiro_mk3_5,tas,1920,1939,-0.917527234,-0.261690401,2.076733368,7.365652603,13.31720283,18.5758686,21.79493725,21.03127466,16.08333011,9.439651756,3.173172948,-0.427778249
gfdl_cm2_0,tas,1920,1939,-8.307876206395411,-7.10510135945682,-3.575152390022079,2.335891076750619,8.32786951992535,13.526653109049638,16.352346672381685,15.293944018737738,10.736861231321683,3.970291936782056,-1.6538668511209595,-6.812898631107875
gfdl_cm2_1,tas,1920,1939,-6.769519910551591,-6.116571973388565,-2.6532203883613046,3.2023426541077624,9.660916601927847,15.2269848754565,18.02377722685243,16.74570782820676,12.081169680169666,5.650686896651165,-0.346638933975771,-5.24967819556386
ingv_echam4,tas,1920,1939,-3.2149072204747178,-2.134677344723761,1.4534315836995968,6.6153206004757585,11.804273876465693,17.178341149689835,20.105214183169185,19.796684436368974,15.831187716742761,9.454850422769997,2.957571662273088,-1.4727736018850346
inmcm3_0,tas,1920,1939,-5.444245564372629,-4.458109334817314,-0.8579028883487662,4.626148480726526,10.284913631449971,15.049831247683779,17.40687245204866,16.50703532915686,12.652063231812907,6.988139240521481,0.7465815746279506,-3.5646784680147574
ipsl_cm4,tas,1920,1939,-3.0689886763797203,-2.6700669286260834,-0.049790341955636544,4.214757296212486,10.002366063600688,15.139412668281231,17.97580618156877,17.139661146815435,12.587190623295035,6.699852998119318,1.177000050532082,-1.7583655454871356
miroc3_2_medres,tas,1920,1939,-3.5633325743259805,-3.33307934996593,-0.3693826727728962,5.6882213107383555,12.032144142206365,17.161294076212325,19.168289755347118,18.12672801029715,14.029075945998464,8.236610697986764,2.1608281313927895,-2.078090030356063
miub_echo_g,tas,1920,1939,-5.571299032084054,-4.362196277800084,-0.8286299099046455,3.806067754502349,8.710686586146394,13.139065787676323,16.034147647850254,15.846662411963809,12.67898650894509,7.115181026315947,0.9145399745254753,-3.7718262708092425
mpi_echam5,tas,1920,1939,-5.269524819238396,-4.206487983838295,-0.19287695373563885,5.453509628029355,10.821119503486297,15.363507810673907,17.492932098462074,16.608176519149815,12.677604466006924,6.818094153653849,0.29616502871161565,-4.038192140195678
mri_cgcm2_3_2a,tas,1920,1939,-6.200873206084645,-5.232220999319484,-1.4219225267529334,4.53724598111557,10.558046336186479,15.232749349159993,17.602689823904058,16.169404674350126,11.975545906960884,6.271906179680223,-0.07758690888861564,-4.973110360695806
ukmo_hadcm3,tas,1920,1939,-7.738257810064471,-6.72234936188405,-2.4054434531349327,4.586393094716265,10.553699674156304,14.903954180101108,17.61869085221444,16.749476711054253,12.811891322717397,6.428958274480919,-0.38862217929324727,-5.895854160375064
ukmo_hadgem1,tas,1920,1939,-9.262205204762163,-8.460088677536113,-4.2404419478029975,2.172895930948344,9.145626762561486,15.330325005354526,18.76756107777613,18.102965243140947,13.58474282433603,6.29165337389005,-1.437783029610154,-6.803700777657883

