"","time","tavg","tmin","tmax","prcp","snow","wdir","wspd","wpgt","pres"
"76","1973-03-17",10.4,7.4,13,0,0,221.7,7.9,35.3,1016.8
"77","1973-03-18",9.6,3.5,15.8,0,0,NA,6.7,24.1,1015.8
"78","1973-03-19",10,7.4,11.9,16,0,151.9,19.7,35.3,1008.8
"79","1973-03-20",8.9,6.9,11.9,0,0,211.6,17.2,42.5,1008.8
"80","1973-03-21",7.7,6.9,8.5,13.7,0,160.3,22.1,55.4,1013
"81","1973-03-22",9.9,4.7,16.9,0,0,NA,10.9,44.3,1017.5
"82","1973-03-23",11.8,5.2,19.1,0,0,NA,8,37.1,1018.2
"83","1973-03-24",13.6,8,18.5,0,0,NA,7.3,24.1,NA
"84","1973-03-25",12.8,9.1,18,0,0,220.4,9.3,35.3,1014.3
"85","1973-03-26",13,9.7,16.9,0,0,157.3,17.2,29.5,NA
"86","1973-03-27",13.2,9.1,17.5,4.8,0,NA,9.6,37.1,1012.9
"87","1973-03-28",11.4,5.2,17.5,0,0,337.8,15,57.2,NA
"88","1973-03-29",10.2,3.5,16.9,0,0,300.9,8.3,29.5,1019.4
"89","1973-03-30",10.6,9.1,11.9,7.1,0,148.8,21.6,35.3,NA
"90","1973-03-31",12.3,8.5,16.9,0.3,0,199.8,13,40.7,NA
"91","1973-04-01",10.3,3.5,16.9,0,0,NA,13.6,55.4,1025.3
"92","1973-04-02",11.9,5.8,19.1,0,0,350.8,24.1,51.8,1026.2
"93","1973-04-03",14.5,6.9,22.4,0,0,0.8,20.1,50,1025.4
"94","1973-04-04",15.6,4.7,25.8,0,0,333,10.4,42.5,NA
"95","1973-04-05",16.6,10.2,24.1,0,0,NA,8.2,27.7,1019
"96","1973-04-06",15.8,8.5,24.1,0,0,178.4,8.8,20.5,1017.9
"97","1973-04-07",15.8,9.1,23.5,0,0,NA,15.7,57.2,NA
"98","1973-04-08",14.9,4.1,23.5,0,0,NA,7.7,18.4,1019
"99","1973-04-09",15.8,9.1,23,0,0,NA,6.7,14.8,1018.5
"100","1973-04-10",18.4,11.3,26.9,0,0,NA,8.3,29.5,1015.4
"101","1973-04-11",18.2,12.4,26.9,0,0,171.4,12.6,33.5,1015.7
"102","1973-04-12",14.5,10.2,21.3,0,0,179.8,23.5,50,1015.4
"103","1973-04-13",11.5,7.4,15.2,0.8,0,NA,14.9,33.5,1014.7
"104","1973-04-14",12.8,8.5,18.5,0,0,NA,9.1,35.3,1017
"105","1973-04-15",13.3,9.7,18.5,0,0,174.1,16.7,42.5,1018.7
"106","1973-04-16",14,10.2,18.5,0.5,0,180.3,18.6,35.3,NA
"107","1973-04-17",14,9.7,19.7,0,0,169.3,15.1,50,NA
"108","1973-04-18",12.3,4.7,20.2,0,0,NA,11.7,44.3,NA
"109","1973-04-19",12.7,4.1,19.1,0,0,NA,14.7,48.2,1016.3
"110","1973-04-20",14.4,7.4,21.3,0,0,346.7,19.7,55.4,1015.9
"111","1973-04-21",16,6.3,25.2,0,0,340.9,9,38.9,NA
"112","1973-04-22",17.8,7.4,26.9,0,0,NA,8,35.3,NA
"113","1973-04-23",18.6,10.2,27.5,0,0,NA,9.5,25.9,NA
"114","1973-04-24",19.4,8.5,29.7,0,0,NA,8.8,37.1,NA
"115","1973-04-25",20.2,9.1,29.7,0,0,NA,5.2,24.1,NA
"116","1973-04-26",21.9,14.1,30.2,0,0,NA,6.2,22.3,1011.6
"117","1973-04-27",19.4,13,28.5,0,0,175.8,15.4,35.3,NA
"118","1973-04-28",14.2,9.1,20.8,0,0,188.3,18.9,44.3,1008.9
"119","1973-04-29",NA,7.9,23.5,0,0,NA,NA,40.7,NA
"120","1973-04-30",16.9,7.4,25.3,0,0,NA,12.1,38.9,NA
"121","1973-05-01",16.8,10.2,25.8,0,0,177.5,13.5,35.3,NA
"122","1973-05-02",16.3,9.1,25.8,0,0,168.5,15.7,29.5,1021
"123","1973-05-03",16.7,11.9,24.7,0,0,171.1,17.2,46.4,1017.3
"124","1973-05-04",13.4,9.7,19.7,2.8,0,164.8,18.1,61.2,1012.6
"125","1973-05-05",15.4,7.4,24.7,0,0,NA,7.9,33.5,1011.3
"126","1973-05-06",16.5,10.8,23.5,0,0,183.1,15,33.5,1017
"127","1973-05-07",17.1,11.3,25.2,0,0,173.7,15.5,40.7,1017.9
"128","1973-05-08",17.9,10.2,27.4,0,0,258.2,9.5,24.1,1018.4
"129","1973-05-09",19.9,11.3,29.7,0,0,172.6,8.9,25.9,1016.4
"130","1973-05-10",20.8,11.3,30.2,0,0,NA,9.4,31.3,1013.8
"131","1973-05-11",22.2,11.3,32.4,0,0,NA,5.6,24.1,NA
"132","1973-05-12",23.1,10.8,33.5,0,0,NA,8,22.3,1012.1
"133","1973-05-13",23.7,14.1,34.7,0,0,NA,11.3,24.1,1010.2
"134","1973-05-14",23,17.5,29.7,0,0,177.9,13.1,33.5,1012.4
"135","1973-05-15",21.9,14.1,30.8,0,0,177,8.3,18.4,1018.4
"136","1973-05-16",23.9,14.1,33.5,0,0,NA,4.6,25.9,1018.8
"137","1973-05-17",26.7,15.8,35.8,0,0,NA,6.8,25.9,NA
"138","1973-05-18",25.8,19.1,34.7,0,0,175.2,12.7,37.1,1011.7
"139","1973-05-19",18.7,12.4,27.4,0,0,187.5,21.1,57.2,NA
"140","1973-05-20",16.5,10.8,23,0,0,196.5,14.9,37.1,NA
"141","1973-05-21",18.2,10.2,28,0,0,NA,9,33.5,1011.3
"142","1973-05-22",17.5,10.2,26.9,0,0,186.8,14.6,40.7,1011.8
"143","1973-05-23",18,11.3,26.3,0,0,169.8,18.6,42.5,NA
"144","1973-05-24",16.8,14.1,23.5,0.5,0,181.1,15,33.5,1013.9
"145","1973-05-25",16.3,11.9,21.9,0,0,178.4,14.6,40.7,NA
"146","1973-05-26",16.2,9.7,23.6,0,0,NA,14.7,27.7,NA
"147","1973-05-27",20.5,10.2,30.2,0,0,NA,10.5,37.1,NA
"148","1973-05-28",24.9,13,35.2,0,0,NA,1.8,20.5,1010.9
"149","1973-05-29",28.3,19.1,37.4,0,0,NA,5.2,25.9,NA
"150","1973-05-30",23.8,19.1,29.7,0,0,171.3,13.8,44.3,1006.3
"151","1973-05-31",18.6,13.5,24.7,0,0,205.4,12.8,46.4,1007.3
"152","1973-06-01",19,12.4,26.3,0,0,219.6,16.2,37.1,1008.9
"153","1973-06-02",20.4,13,28.5,0,0,212.2,10.2,29.5,1010.4
"154","1973-06-03",22.5,14.7,30.8,0,0,NA,8.2,24.1,1010.1
"155","1973-06-04",23.9,14.7,33.5,0,0,NA,5.8,25.9,NA
"156","1973-06-05",25.4,14.7,35.2,0,0,NA,7,20.5,NA
"157","1973-06-06",27.3,15.2,37.4,0,0,NA,5.8,27.7,1015.8
"158","1973-06-07",28,15.8,38.5,0,0,NA,7,25.9,1013.8
"159","1973-06-08",28.5,16.3,38,0,0,NA,4.7,22.3,NA
"160","1973-06-09",27.9,18.5,37.4,0,0,NA,9.9,42.5,NA
"161","1973-06-10",21.3,14.7,29.7,0,0,184.3,16.3,40.7,1008.6
"162","1973-06-11",18.4,11.9,26.9,0,0,176.1,18.5,40.7,NA
"163","1973-06-12",20,13.5,28.5,0,0,177.3,18.3,44.3,NA
