"","time","tavg","tmin","tmax","prcp","snow","wdir","wspd","wpgt","pres"
"75","1973-03-16",13.7,8.1,19.8,0,0,254.1,14.7,37.1,1021.1
"76","1973-03-17",12.7,9.2,16.5,0,0,214.3,11.1,33.5,1014.7
"77","1973-03-18",12.8,9.8,16.5,0,0,286.1,14.3,31.3,1013.1
"78","1973-03-19",12.9,8.1,16.5,0,0,163.7,12.3,37.1,1012.7
"79","1973-03-20",12.1,9.2,14.2,16.5,0,245.4,29.7,64.8,1011.1
"80","1973-03-21",11,5.9,14.2,7.6,0,NA,14.8,46.4,1016.9
"81","1973-03-22",12,6.5,14.8,0,0,289.8,20.9,48.2,1014.1
"82","1973-03-23",12.3,7.6,17,0,0,189.7,12.3,29.5,1016.5
"83","1973-03-24",13,9.2,17,0,0,221.5,11.1,37.1,1019
"84","1973-03-25",12.9,10.9,15.9,0,0,231.7,12.2,35.3,1016
"85","1973-03-26",12.1,9.2,15.4,0.3,0,254.8,15.6,48.2,1012.4
"86","1973-03-27",12.5,8.7,15.9,0,0,229.5,13.1,37.1,1013
"87","1973-03-28",13.3,10.9,15.9,0,0,272.6,20.2,55.4,1012.5
"88","1973-03-29",14.2,9.2,17,0,0,290,22.8,55.4,1015.8
"89","1973-03-30",13.5,9.8,17.6,0,0,172.1,14.3,31.3,1018.1
"90","1973-03-31",13.5,10.4,17,0,0,174.8,12.1,33.5,1019.5
"91","1973-04-01",14.5,10.4,18.7,0,0,317.3,23,63,1019.8
"92","1973-04-02",15.7,10.9,20.9,0,0,314.5,27.5,59,1019.4
"93","1973-04-03",17.6,8.7,22.6,0,0,235.6,11.6,37.1,1019.2
"94","1973-04-04",19.9,12,26.5,0,0,32.7,18.4,68.4,1018.7
"95","1973-04-05",17.5,9.2,23.7,0,0,250.4,16.3,53.6,1018
"96","1973-04-06",14.8,9.8,21.5,0,0,149.7,11.1,27.7,1016.9
"97","1973-04-07",14.3,12.6,18.1,0,0,220.9,10.9,31.3,1014.9
"98","1973-04-08",16.7,9.8,24.2,0,0,242.8,12.1,33.5,1018.6
"99","1973-04-09",15.8,10.4,22,0,0,209.9,11.1,29.5,1017.6
"100","1973-04-10",15.1,12,23.1,0,0,201.3,13.1,40.7,1015.7
"101","1973-04-11",14,11.5,17,0,0,227.7,10.4,25.9,1016.6
"102","1973-04-12",13.7,12,16.5,0,0,211.9,10.3,33.5,1016.1
"103","1973-04-13",14.2,12,17.6,0,0,223.6,19.4,48.2,1015.7
"104","1973-04-14",13.7,9.8,18.1,0,0,273.5,16.6,48.2,1015.5
"105","1973-04-15",13.4,10.9,17,0,0,191.1,12.5,27.7,1017.9
"106","1973-04-16",14,9.2,18.7,0,0,206.3,10.9,37.1,1018.4
"107","1973-04-17",13.5,10.9,15.9,0,0,NA,10.5,24.1,1015.5
"108","1973-04-18",14.4,10.9,19.2,0,0,275.2,22.2,51.8,1012.3
"109","1973-04-19",14.7,9.8,19.2,0,0,329.8,18.3,50,1010.8
"110","1973-04-20",15.6,10.9,20.4,0,0,275.9,17.8,44.3,1011.6
"111","1973-04-21",15.8,8.7,20.9,0,0,223.8,13.9,42.5,1015.7
"112","1973-04-22",18.4,12.6,25.9,0,0,214.9,13,42.5,1014.7
"113","1973-04-23",15.2,11.5,20.4,0,0,179.3,11.6,29.5,1012.7
"114","1973-04-24",14.4,12,18.7,0,0,189.5,13.2,29.5,1013.1
"115","1973-04-25",13.7,11.5,17,0,0,248.8,12.6,33.5,1013.8
"116","1973-04-26",13.3,12,17.6,0,0,252.7,13.1,33.5,1013.7
"117","1973-04-27",13.4,12,17,0,0,230.3,10.7,35.3,1013
"118","1973-04-28",13.7,13.1,15.9,0,0,191.7,11.4,24.1,1013.3
"119","1973-04-29",NA,12.6,18.7,0,0,NA,NA,31.3,NA
"120","1973-04-30",13.8,12,17.6,0,0,245.8,13.7,37.1,1012.1
"121","1973-05-01",14.5,11.5,18.7,0,0,222.2,13.6,37.1,1019.1
"122","1973-05-02",16.6,11.5,22,0,0,224.6,12.4,33.5,1019.5
"123","1973-05-03",17.1,13.1,22.6,0,0,227.2,11.7,29.5,1015.8
"124","1973-05-04",15.3,12.6,20.9,0,0,174.4,12.7,33.5,1013.5
"125","1973-05-05",13.9,10.9,17.6,0,0,248.2,15.7,40.7,1012.4
"126","1973-05-06",14.3,10.9,18.7,0,0,221.4,13.6,33.5,1018.1
"127","1973-05-07",14.5,11.5,18.1,0,0,223.6,11.4,31.3,1016.9
"128","1973-05-08",15.2,12,19.2,0,0,174.2,10.5,29.5,1015.5
"129","1973-05-09",15.6,13.1,19.2,0,0,218.6,11,29.5,1014.4
"130","1973-05-10",15.6,13.1,19.8,0,0,NA,9.5,29.5,1013.4
"131","1973-05-11",15.7,14.2,19.8,0,0,237.9,11.7,27.7,1014.5
"132","1973-05-12",15.1,13.7,18.1,0,0,251,13.7,33.5,1015.2
"133","1973-05-13",14.8,14.2,16.5,0,0,250.2,12.7,29.5,1013.8
"134","1973-05-14",15.5,13.1,19.8,0,0,252.1,13.5,27.7,1016.4
"135","1973-05-15",16.5,14.2,20.9,0,0,251.8,14.5,37.1,1020.7
"136","1973-05-16",15.1,14.2,16.5,0,0,254.4,13.5,35.3,1020.4
"137","1973-05-17",15.1,13.7,19.8,0,0,238.5,11.4,29.5,1018.3
"138","1973-05-18",15.2,13.7,19.2,0,0,238.4,10.5,27.7,1016.1
"139","1973-05-19",15.5,14.8,18.1,0,0,230,12.1,27.7,1015.7
"140","1973-05-20",15.2,14.2,18.1,0,0,234.8,12.2,25.9,1014.7
"141","1973-05-21",15.7,12.6,19.2,0,0,242.9,14,33.5,1013.9
"142","1973-05-22",15.5,12.6,19.8,0,0,250.8,12.5,29.5,1013.8
"143","1973-05-23",16,13.1,20.9,0,0,231.9,13.6,35.3,1014
"144","1973-05-24",16,13.7,20.4,0,0,NA,11.8,33.5,1013.2
"145","1973-05-25",15.8,13.1,18.1,0,0,144.1,10.9,27.7,1012.2
"146","1973-05-26",16.5,12,20.9,0,0,246.8,12.9,37.1,1011.7
"147","1973-05-27",19,13.1,24.2,0,0,215.1,10.4,31.3,1009.8
"148","1973-05-28",21.5,15.9,28.7,0,0,225.5,12,31.3,1009.8
"149","1973-05-29",19.3,15.9,24.8,0,0,NA,12,29.5,1010.9
"150","1973-05-30",18,15.9,21.5,0,0,216.1,12.7,37.1,1011.7
"151","1973-05-31",16.5,15.4,18.7,0.3,0,247.4,11.1,20.5,1011.7
"152","1973-06-01",16.9,15.4,18.7,0,0,252.2,11.5,25.9,1011.4
"153","1973-06-02",17.1,14.8,20.9,0,0,243.3,16.1,31.3,1012.8
"154","1973-06-03",16.1,14.2,19.8,0,0,240,13.4,27.7,1013.8
"155","1973-06-04",16.9,14.8,21.5,0,0,242.5,13.7,38.9,1014.9
"156","1973-06-05",16.5,14.2,20.4,0,0,248.6,14.6,38.9,1015.8
"157","1973-06-06",16.7,14.2,20.4,0,0,247.1,12.9,33.5,1015.6
"158","1973-06-07",17.2,14.8,23.7,0,0,239.6,9.1,25.9,1013.6
"159","1973-06-08",17.5,14.8,22.6,0,0,142,10.2,27.7,1012.3
"160","1973-06-09",18.2,15.9,22,0,0,215.2,11.3,29.5,1012.5
"161","1973-06-10",18,15.9,21.5,0,0,211.4,12.2,35.3,1013.1
"162","1973-06-11",18.1,14.2,22.6,0,0,222.3,14.3,35.3,1014.5
"163","1973-06-12",16.8,14.2,20.9,0,0,242,12.5,40.7,1013.3
"164","1973-06-13",17,14.8,20.4,0,0,154.9,11.1,27.7,1011.5
